TimeStamp,SPX
1990-02-01 00:00:00,328.79
1990-02-02 00:00:00,330.92
1990-02-05 00:00:00,331.85
1990-02-06 00:00:00,329.66
1990-02-07 00:00:00,333.75
1990-02-08 00:00:00,332.96
1990-02-09 00:00:00,333.62
1990-02-12 00:00:00,330.08
1990-02-13 00:00:00,331.02
1990-02-14 00:00:00,332.01
1990-02-15 00:00:00,334.89
1990-02-16 00:00:00,332.72
1990-02-20 00:00:00,327.99
1990-02-21 00:00:00,327.67
1990-02-22 00:00:00,325.7
1990-02-23 00:00:00,324.15
1990-02-26 00:00:00,328.67
1990-02-27 00:00:00,330.26
1990-02-28 00:00:00,331.89
1990-03-01 00:00:00,332.74